in:Length,in:Height,out:nonPVTest,out:nonPVTest2,out:nonPVTest3,out:sliceNT_ave,out:clipT_ave,out:lineT_beadAxis_min,out:lineT_beadAxis_ave,out:volHFLX_ave,out:volHFLX_min,out:volHFLX_max,out:volHFLX_sd,out:simulation_completed,img:nonPVImgTest2,img:sliceNT,img:clipT,img:clipT_animation,img:lineT_beadAxis
12.0,1.0,0.0,1.0,10.0,39.484033976,38.6514617175,25.0226147391,48.4163911671,20.3308064325,-270.582635575,336.728140266,78.2911346151,1,./../example_inputs/welding/outputs/png/0/test.png,./../example_inputs/welding/outputs/png/0/out_sliceNT.png,./../example_inputs/welding/outputs/png/0/out_clipT.png,./../example_inputs/welding/outputs/png/0/out_clipT.gif,./../example_inputs/welding/outputs/png/0/plot_lineT_beadAxis.png
12.0,2.0,1.1,1.1,10.1,36.1718151285,33.9632785185,25.0165729821,44.3727435712,11.9412478859,-247.496832526,284.533237386,61.4322407963,1,./../example_inputs/welding/outputs/png/1/test.png,./../example_inputs/welding/outputs/png/1/out_sliceNT.png,./../example_inputs/welding/outputs/png/1/out_clipT.png,./../example_inputs/welding/outputs/png/1/out_clipT.gif,./../example_inputs/welding/outputs/png/1/plot_lineT_beadAxis.png
