metric,ave,min,max,sd
clipT,33.9632785185,25.0147040541,193.648241292,19.3583868365
lineT_beadAxis,44.3727435712,25.0165729821,168.07999673,36.6882251233
probeUMag,0.00140039706127,0.00140039706127,0.00140039706127,0.0
volHFLX,11.9412478859,-247.496832526,284.533237386,61.4322407963
sliceNT,36.1718151285,25.0094718933,181.160183675,23.2097739638
