metric,ave,min,max,sd
clipT,38.6514617175,25.0202578949,208.820016034,25.1071417096
lineT_beadAxis,48.4163911671,25.0226147391,184.105639688,41.821560559
probeUMag,0.00431773317684,0.00431773317684,0.00431773317684,0.0
volHFLX,20.3308064325,-270.582635575,336.728140266,78.2911346151
sliceNT,39.484033976,25.0162372589,197.100620068,27.2127265823
